Total words: 25652
Unique words: 6342
Word frequencies:
beseech: 7
follow: 6
straight.: 3
county: 4
stays.: 1
girl,: 2
nights: 1
IV.: 4
ROMEO,: 1
MERCUTIO,: 3
BENVOLIO,: 2
five: 3
six: 1
Maskers,: 1
Torch-bearers,: 1
others: 9
speech: 1
spoke: 5
excuse?: 1
apology?: 1
date: 3
prolixity:: 1
We'll: 3
Cupid: 2
hoodwink'd: 1
scarf,: 1
Bearing: 1
Tartar's: 1
painted: 1
lath,: 1
Scaring: 1
crow-keeper;: 1
without-book: 1
prologue,: 1
faintly: 1
After: 1
prompter,: 1
entrance:: 1
measure: 5
will;: 3
measure,: 2
gone.: 5
torch:: 1
ambling;: 1
heavy,: 1
light.: 3
MERCUTIO: 66
dance.: 2
believe: 3
dancing: 2
shoes: 2
nimble: 1
soles:: 1
soul: 5
lead: 3
stakes: 1
ground: 5
move.: 1
lover;: 1
borrow: 1
wings,: 1
soar: 2
above: 12
bound.: 1
sore: 1
enpierced: 1
shaft: 1
feathers,: 1
bound,: 2
pitch: 1
dull: 2
woe:: 1
Under: 2
burden: 3
sink.: 1
sink: 1
it,: 14
Too: 7
oppression: 2
tender: 6
thing.: 3
thing?: 1
rough,: 1
rude,: 1
boisterous,: 1
pricks: 1
thorn.: 1
Prick: 1
pricking,: 1
down.: 2
case: 5
visage: 1
in:: 3
visor: 2
visor!: 1
care: 5
curious: 1
quote: 1
deformities?: 1
beetle: 1
blush: 2
knock: 1
enter;: 1
sooner: 1
in,: 6
betake: 1
legs.: 1
torch: 4
wantons: 1
heart: 14
Tickle: 1
senseless: 1
rushes: 1
heels,: 1
proverb'd: 1
grandsire: 1
phrase;: 1
candle-holder,: 1
on.: 1
game: 1
ne'er: 9
dun's: 1
mouse,: 3
constable's: 1
word:: 6
dun,: 1
mire: 1
sir-reverence: 1
wherein: 1
stick'st: 1
Up: 1
ears.: 2
burn: 2
daylight,: 1
that's: 4
so.: 6
delay: 2
waste: 1
lights: 2
vain,: 1
lamps: 1
day.: 2
meaning,: 1
judgment: 2
sits: 2
Five: 1
times: 6
once: 5
wits.: 1
mean: 6
going: 3
mask;: 1
wit: 3
ask?: 1
dream'd: 1
to-night.: 4
yours?: 1
dreamers: 1
bed: 6
asleep,: 2
things: 4
true.: 2
Queen: 1
Mab: 3
fairies': 2
midwife,: 1
shape: 3
bigger: 1
agate-stone: 1
fore-finger: 1
alderman,: 1
Drawn: 1
team: 1
little: 10
atomies: 1
Athwart: 1
men's: 6
noses: 1
asleep;: 1
Her: 10
wagon-spokes: 1
spiders': 1
legs,: 1
cover: 1
wings: 3
grasshoppers,: 1
traces: 1
smallest: 1
spider's: 1
web,: 1
collars: 1
moonshine's: 1
watery: 1
beams,: 2
whip: 2
cricket's: 1
bone,: 2
lash: 1
film,: 1
wagoner: 2
small: 3
grey-coated: 1
gnat,: 1
round: 1
worm: 1
Prick'd: 1
lazy: 1
finger: 2
maid;: 2
chariot: 1
empty: 4
hazel-nut: 1
Made: 1
joiner: 1
squirrel: 1
grub,: 1
Time: 1
coachmakers.: 1
state: 2
gallops: 2
brains,: 1
O'er: 3
courtiers': 1
knees,: 2
court'sies: 1
straight,: 2
lawyers': 1
fingers,: 1
straight: 5
fees,: 1
': 1
lips,: 8
kisses: 3
dream,: 3
oft: 4
angry: 1
blisters: 1
plagues,: 1
Because: 3
breaths: 1
sweetmeats: 1
tainted: 1
are:: 1
Sometime: 2
courtier's: 1
nose,: 1
dreams: 3
smelling: 1
suit;: 1
sometime: 1
tithe-pig's: 1
tail: 1
Tickling: 1
parson's: 1
nose: 1
a': 3
dreams,: 2
benefice:: 1
driveth: 1
soldier's: 2
neck,: 1
cutting: 1
foreign: 1
throats,: 1
breaches,: 1
ambuscadoes,: 1
Spanish: 1
blades,: 1
healths: 1
five-fathom: 1
deep;: 2
anon: 1
Drums: 1
ear,: 2
starts: 2
wakes,: 1
thus: 4
frighted: 1
swears: 1
prayer: 1
sleeps: 2
again.: 9
plats: 1
manes: 1
horses: 1
night,: 16
bakes: 1
elflocks: 1
foul: 4
sluttish: 1
hairs,: 1
untangled,: 1
misfortune: 1
bodes:: 1
hag,: 1
backs,: 1
presses: 2
learns: 1
bear,: 1
Making: 1
carriage:: 1
she--: 1
Mercutio,: 7
talk'st: 1
nothing.: 1
True,: 1
children: 2
idle: 1
brain,: 1
Begot: 1
vain: 2
fantasy,: 1
thin: 1
substance: 2
air: 3
inconstant: 3
wind,: 2
wooes: 1
frozen: 1
bosom: 5
north,: 1
anger'd,: 1
puffs: 1
away: 4
thence,: 1
Turning: 1
dew-dropping: 1
south.: 1
of,: 1
blows: 2
ourselves;: 1
Supper: 1
done,: 3
late.: 2
fear,: 3
early:: 1
misgives: 1
Some: 12
consequence: 1
hanging: 1
Shall: 14
bitterly: 1
night's: 4
revels: 1
expire: 1
term: 2
despised: 1
life: 9
closed: 3
breast: 1
vile: 7
untimely: 5
He,: 1
steerage: 1
course,: 2
Direct: 1
sail!: 2
On,: 1
gentlemen.: 2
Strike,: 1
drum.: 1
V.: 4
hall: 1
Musicians: 2
waiting.: 1
Servingmen: 2
napkins: 1
Potpan,: 1
helps: 2
away?: 2
shift: 1
trencher?: 1
scrape: 1
trencher!: 1
Second: 13
manners: 2
unwashed: 1
joint-stools,: 1
remove: 2
court-cupboard,: 1
plate.: 1
thou,: 7
save: 3
marchpane;: 1
lovest: 1
porter: 1
Grindstone: 1
Nell.: 1
Antony,: 1
Potpan!: 1
boy,: 2
ready.: 1
looked: 1
called: 1
sought: 3
chamber.: 3
too.: 4
Cheerly,: 1
boys;: 1
brisk: 1
longer: 4
liver: 1
house,: 4
meeting: 2
Guests: 1
Maskers: 1
Welcome,: 3
gentlemen!: 3
toes: 1
Unplagued: 1
corns: 1
bout: 1
Ah: 3
ha,: 2
mistresses!: 1
deny: 3
dance?: 2
dainty,: 1
She,: 1
swear,: 2
corns;: 1
near: 4
ye: 6
now?: 2
worn: 3
whispering: 1
tale: 4
please:: 1
gone,: 11
gone:: 4
musicians,: 3
play.: 1
hall,: 1
hall!: 1
room!: 1
girls.: 1
Music: 2
plays,: 1
dance: 1
More: 6
light,: 4
knaves;: 1
tables: 1
grown: 3
hot.: 2
unlook'd-for: 1
sport: 2
sit,: 2
past: 7
days:: 2
is't: 4
last: 5
mask?: 1
Capulet: 3
By'r: 1
thirty: 1
years.: 1
man!: 5
much,: 3
much:: 3
nuptials: 1
Lucentio,: 1
pentecost: 1
will,: 6
twenty: 10
mask'd.: 1
